>Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1-1 (tRNAscan-SE ID: chr.trna9) chr:780554-780629 (+) Lys (TTT) 76 bp Sc: 94.9
>Danio_rerio_tRNA-Ala-TGC-1-28 (tRNAscan-SE ID: chr21.trna124) Ala (TGC) 72 bp Sc: 78.2 chr21:18532056-18532127 (+)
>Danio_rerio_tRNA-Ala-TGC-1-29 (tRNAscan-SE ID: chr21.trna126) Ala (TGC) 72 bp Sc: 78.2 chr21:18532624-18532695 (+)
>Danio_rerio_tRNA-Ala-TGC-1-3 (tRNAscan-SE ID: chr21.trna14) Ala (TGC) 72 bp Sc: 78.2 chr21:18500643-18500714 (+)
>Danio_rerio_tRNA-Ala-TGC-1-30 (tRNAscan-SE ID: chr21.trna131) Ala (TGC) 72 bp Sc: 78.2 chr21:18534038-18534109 (+)
>Danio_rerio_tRNA-Ala-TGC-1-31 (tRNAscan-SE ID: chr21.trna136) Ala (TGC) 72 bp Sc: 78.2 chr21:18535470-18535541 (+)
>Danio_rerio_tRNA-Ala-TGC-1-32 (tRNAscan-SE ID: chr21.trna138) Ala (TGC) 72 bp Sc: 78.2 chr21:18536035-18536106 (+)
>Danio_rerio_tRNA-Ala-TGC-1-33 (tRNAscan-SE ID: chr21.trna163) Ala (TGC) 72 bp Sc: 78.2 chr21:18543016-18543087 (+)
>Danio_rerio_tRNA-Ala-TGC-1-34 (tRNAscan-SE ID: chr21.trna164) Ala (TGC) 72 bp Sc: 78.2 chr21:18543300-18543371 (+)
>Danio_rerio_tRNA-Ala-TGC-1-35 (tRNAscan-SE ID: chr21.trna168) Ala (TGC) 72 bp Sc: 78.2 chr21:18544432-18544503 (+)
>Danio_rerio_tRNA-Ala-TGC-1-36 (tRNAscan-SE ID: chr21.trna179) Ala (TGC) 72 bp Sc: 78.2 chr21:18547578-18547649 (+)
>Danio_rerio_tRNA-Ala-TGC-1-37 (tRNAscan-SE ID: chr21.trna182) Ala (TGC) 72 bp Sc: 78.2 chr21:18548444-18548515 (+)
>Danio_rerio_tRNA-Ala-TGC-1-38 (tRNAscan-SE ID: chr21.trna186) Ala (TGC) 72 bp Sc: 78.2 chr21:18549581-18549652 (+)
>Danio_rerio_tRNA-Ala-TGC-1-39 (tRNAscan-SE ID: chr21.trna187) Ala (TGC) 72 bp Sc: 78.2 chr21:18549865-18549936 (+)
>Danio_rerio_tRNA-Ala-TGC-1-4 (tRNAscan-SE ID: chr21.trna15) Ala (TGC) 72 bp Sc: 78.2 chr21:18500927-18500998 (+)
>Danio_rerio_tRNA-Ala-TGC-1-40 (tRNAscan-SE ID: chr21.trna188) Ala (TGC) 72 bp Sc: 78.2 chr21:18550149-18550220 (+)
>Danio_rerio_tRNA-Ala-TGC-1-41 (tRNAscan-SE ID: chr21.trna191) Ala (TGC) 72 bp Sc: 78.2 chr21:18551031-18551102 (+)
>Danio_rerio_tRNA-Ala-TGC-1-42 (tRNAscan-SE ID: chr21.trna199) Ala (TGC) 72 bp Sc: 78.2 chr21:18553313-18553384 (+)
>Danio_rerio_tRNA-Ala-TGC-1-43 (tRNAscan-SE ID: chr21.trna202) Ala (TGC) 72 bp Sc: 78.2 chr21:18554179-18554250 (+)
>Danio_rerio_tRNA-Ala-TGC-1-44 (tRNAscan-SE ID: chr21.trna205) Ala (TGC) 72 bp Sc: 78.2 chr21:18555029-18555100 (+)
>Danio_rerio_tRNA-Ala-TGC-1-45 (tRNAscan-SE ID: chr21.trna213) Ala (TGC) 72 bp Sc: 78.2 chr21:18557328-18557399 (+)
>Danio_rerio_tRNA-Ala-TGC-1-46 (tRNAscan-SE ID: chr21.trna221) Ala (TGC) 72 bp Sc: 78.2 chr21:18559611-18559682 (+)
>Danio_rerio_tRNA-Ala-TGC-1-47 (tRNAscan-SE ID: chr21.trna227) Ala (TGC) 72 bp Sc: 78.2 chr21:18561327-18561398 (+)
>Danio_rerio_tRNA-Ala-TGC-1-48 (tRNAscan-SE ID: chr21.trna229) Ala (TGC) 72 bp Sc: 78.2 chr21:18561895-18561966 (+)
>Danio_rerio_tRNA-Ala-TGC-1-49 (tRNAscan-SE ID: chr21.trna235) Ala (TGC) 72 bp Sc: 78.2 chr21:18563623-18563694 (+)
>Danio_rerio_tRNA-Ala-TGC-1-5 (tRNAscan-SE ID: chr21.trna18) Ala (TGC) 72 bp Sc: 78.2 chr21:18501809-18501880 (+)
>Danio_rerio_tRNA-Ala-TGC-1-50 (tRNAscan-SE ID: chr21.trna237) Ala (TGC) 72 bp Sc: 78.2 chr21:18564190-18564261 (+)
>Danio_rerio_tRNA-Ala-TGC-1-51 (tRNAscan-SE ID: chr21.trna244) Ala (TGC) 72 bp Sc: 78.2 chr21:18566180-18566251 (+)
>Danio_rerio_tRNA-Ala-TGC-1-52 (tRNAscan-SE ID: chr21.trna250) Ala (TGC) 72 bp Sc: 78.2 chr21:18567877-18567948 (+)
>Danio_rerio_tRNA-Ala-TGC-1-53 (tRNAscan-SE ID: chr21.trna252) Ala (TGC) 72 bp Sc: 78.2 chr21:18568445-18568516 (+)
>Danio_rerio_tRNA-Ala-TGC-1-6 (tRNAscan-SE ID: chr21.trna26) Ala (TGC) 72 bp Sc: 78.2 chr21:18504091-18504162 (+)
>Danio_rerio_tRNA-Ala-TGC-1-7 (tRNAscan-SE ID: chr21.trna29) Ala (TGC) 72 bp Sc: 78.2 chr21:18504957-18505028 (+)
>Danio_rerio_tRNA-Ala-TGC-1-8 (tRNAscan-SE ID: chr21.trna32) Ala (TGC) 72 bp Sc: 78.2 chr21:18505807-18505878 (+)
>Danio_rerio_tRNA-Ala-TGC-1-9 (tRNAscan-SE ID: chr21.trna33) Ala (TGC) 72 bp Sc: 78.2 chr21:18506091-18506162 (+)
>Danio_rerio_tRNA-Ala-TGC-10-1 (tRNAscan-SE ID: chr21.trna137) Ala (TGC) 72 bp Sc: 71.6 chr21:18535754-18535825 (+)
>Danio_rerio_tRNA-Ala-TGC-10-2 (tRNAscan-SE ID: chr21.trna222) Ala (TGC) 72 bp Sc: 71.6 chr21:18559893-18559964 (+)
>Danio_rerio_tRNA-Ala-TGC-11-1 (tRNAscan-SE ID: chr21.trna51) Ala (TGC) 72 bp Sc: 75.7 chr21:18511252-18511323 (+)
>Danio_rerio_tRNA-Ala-TGC-11-2 (tRNAscan-SE ID: chr21.trna98) Ala (TGC) 72 bp Sc: 75.7 chr21:18524625-18524696 (+)
>Danio_rerio_tRNA-Ala-TGC-11-3 (tRNAscan-SE ID: chr21.trna206) Ala (TGC) 72 bp Sc: 75.7 chr21:18555309-18555380 (+)
>Danio_rerio_tRNA-Ala-TGC-12-1 (tRNAscan-SE ID: chr21.trna171) Ala (TGC) 72 bp Sc: 74.1 chr21:18545292-18545363 (+)
>Danio_rerio_tRNA-Ala-TGC-13-1 (tRNAscan-SE ID: chr21.trna132) Ala (TGC) 72 bp Sc: 72.5 chr21:18534323-18534394 (+)
>Danio_rerio_tRNA-Ala-TGC-13-2 (tRNAscan-SE ID: chr21.trna150) Ala (TGC) 72 bp Sc: 72.5 chr21:18539404-18539475 (+)
>Danio_rerio_tRNA-Ala-TGC-13-3 (tRNAscan-SE ID: chr21.trna151) Ala (TGC) 72 bp Sc: 72.5 chr21:18539684-18539755 (+)
>Danio_rerio_tRNA-Ala-TGC-14-1 (tRNAscan-SE ID: chr21.trna232) Ala (TGC) 72 bp Sc: 73.1 chr21:18562740-18562811 (+)
>Danio_rerio_tRNA-Ala-TGC-15-1 (tRNAscan-SE ID: chr21.trna27) Ala (TGC) 72 bp Sc: 77.0 chr21:18504375-18504446 (+)
>Danio_rerio_tRNA-Ala-TGC-15-2 (tRNAscan-SE ID: chr21.trna46) Ala (TGC) 72 bp Sc: 77.0 chr21:18509823-18509894 (+)
>Danio_rerio_tRNA-Ala-TGC-15-3 (tRNAscan-SE ID: chr21.trna67) Ala (TGC) 72 bp Sc: 77.0 chr21:18515816-18515887 (+)
>Danio_rerio_tRNA-Ala-TGC-15-4 (tRNAscan-SE ID: chr21.trna118) Ala (TGC) 72 bp Sc: 77.0 chr21:18530341-18530412 (+)
>Danio_rerio_tRNA-Ala-TGC-15-5 (tRNAscan-SE ID: chr21.trna180) Ala (TGC) 72 bp Sc: 77.0 chr21:18547862-18547933 (+)
>Danio_rerio_tRNA-Ala-TGC-15-6 (tRNAscan-SE ID: chr21.trna200) Ala (TGC) 72 bp Sc: 77.0 chr21:18553597-18553668 (+)
>Danio_rerio_tRNA-Ala-TGC-16-1 (tRNAscan-SE ID: chr21.trna60) Ala (TGC) 72 bp Sc: 78.2 chr21:18513802-18513873 (+)
>Danio_rerio_tRNA-Ala-TGC-17-1 (tRNAscan-SE ID: chr21.trna74) Ala (TGC) 72 bp Sc: 72.6 chr21:18517819-18517890 (+)
>Danio_rerio_tRNA-Ala-TGC-17-2 (tRNAscan-SE ID: chr21.trna207) Ala (TGC) 72 bp Sc: 72.6 chr21:18555593-18555664 (+)
>Danio_rerio_tRNA-Ala-TGC-17-3 (tRNAscan-SE ID: chr21.trna243) Ala (TGC) 72 bp Sc: 72.6 chr21:18565882-18565953 (+)
>Danio_rerio_tRNA-Ala-TGC-18-1 (tRNAscan-SE ID: chr21.trna133) Ala (TGC) 72 bp Sc: 72.0 chr21:18534621-18534692 (+)
>Danio_rerio_tRNA-Ala-TGC-19-1 (tRNAscan-SE ID: chr21.trna219) Ala (TGC) 72 bp Sc: 74.4 chr21:18559042-18559113 (+)
>Danio_rerio_tRNA-Ala-TGC-2-1 (tRNAscan-SE ID: chr21.trna153) Ala (TGC) 72 bp Sc: 75.5 chr21:18540246-18540317 (+)
>Danio_rerio_tRNA-Ala-TGC-20-1 (tRNAscan-SE ID: chr21.trna24) Ala (TGC) 72 bp Sc: 71.0 chr21:18503524-18503595 (+)
>Danio_rerio_tRNA-Ala-TGC-20-2 (tRNAscan-SE ID: chr21.trna43) Ala (TGC) 72 bp Sc: 71.0 chr21:18508972-18509043 (+)
>Danio_rerio_tRNA-Ala-TGC-20-3 (tRNAscan-SE ID: chr21.trna115) Ala (TGC) 72 bp Sc: 71.0 chr21:18529490-18529561 (+)
>Danio_rerio_tRNA-Ala-TGC-20-4 (tRNAscan-SE ID: chr21.trna197) Ala (TGC) 72 bp Sc: 71.0 chr21:18552746-18552817 (+)
>Danio_rerio_tRNA-Ala-TGC-21-1 (tRNAscan-SE ID: chr21.trna134) Ala (TGC) 72 bp Sc: 72.6 chr21:18534905-18534976 (+)
>Danio_rerio_tRNA-Ala-TGC-22-1 (tRNAscan-SE ID: chr21.trna70) Ala (TGC) 72 bp Sc: 70.7 chr21:18516681-18516752 (+)
>Danio_rerio_tRNA-Ala-TGC-23-1 (tRNAscan-SE ID: chr21.trna123) Ala (TGC) 72 bp Sc: 69.6 chr21:18531773-18531844 (+)
>Danio_rerio_tRNA-Ala-TGC-23-2 (tRNAscan-SE ID: chr21.trna130) Ala (TGC) 72 bp Sc: 69.6 chr21:18533756-18533827 (+)
>Danio_rerio_tRNA-Ala-TGC-24-1 (tRNAscan-SE ID: chr21.trna17) Ala (TGC) 72 bp Sc: 71.6 chr21:18501511-18501582 (+)
>Danio_rerio_tRNA-Ala-TGC-24-10 (tRNAscan-SE ID: chr21.trna194) Ala (TGC) 72 bp Sc: 71.6 chr21:18551882-18551953 (+)
>Danio_rerio_tRNA-Ala-TGC-24-11 (tRNAscan-SE ID: chr21.trna209) Ala (TGC) 72 bp Sc: 71.6 chr21:18556177-18556248 (+)
>Danio_rerio_tRNA-Ala-TGC-24-2 (tRNAscan-SE ID: chr21.trna21) Ala (TGC) 72 bp Sc: 71.6 chr21:18502660-18502731 (+)
>Danio_rerio_tRNA-Ala-TGC-24-3 (tRNAscan-SE ID: chr21.trna36) Ala (TGC) 72 bp Sc: 71.6 chr21:18506959-18507030 (+)
>Danio_rerio_tRNA-Ala-TGC-24-4 (tRNAscan-SE ID: chr21.trna40) Ala (TGC) 72 bp Sc: 71.6 chr21:18508108-18508179 (+)
>Danio_rerio_tRNA-Ala-TGC-24-5 (tRNAscan-SE ID: chr21.trna62) Ala (TGC) 72 bp Sc: 71.6 chr21:18514386-18514457 (+)
>Danio_rerio_tRNA-Ala-TGC-24-6 (tRNAscan-SE ID: chr21.trna81) Ala (TGC) 72 bp Sc: 71.6 chr21:18519810-18519881 (+)
>Danio_rerio_tRNA-Ala-TGC-24-7 (tRNAscan-SE ID: chr21.trna108) Ala (TGC) 72 bp Sc: 71.6 chr21:18527477-18527548 (+)
>Danio_rerio_tRNA-Ala-TGC-24-8 (tRNAscan-SE ID: chr21.trna112) Ala (TGC) 72 bp Sc: 71.6 chr21:18528626-18528697 (+)
>Danio_rerio_tRNA-Ala-TGC-24-9 (tRNAscan-SE ID: chr21.trna190) Ala (TGC) 72 bp Sc: 71.6 chr21:18550733-18550804 (+)
>Danio_rerio_tRNA-Ala-TGC-25-1 (tRNAscan-SE ID: chr21.trna238) Ala (TGC) 72 bp Sc: 74.3 chr21:18564470-18564541 (+)
>Danio_rerio_tRNA-Ala-TGC-26-1 (tRNAscan-SE ID: chr21.trna247) Ala (TGC) 72 bp Sc: 72.1 chr21:18567027-18567098 (+)
>Danio_rerio_tRNA-Ala-TGC-27-1 (tRNAscan-SE ID: chr21.trna155) Ala (TGC) 72 bp Sc: 71.1 chr21:18540827-18540898 (+)
>Danio_rerio_tRNA-Ala-TGC-28-1 (tRNAscan-SE ID: chr21.trna217) Ala (TGC) 72 bp Sc: 70.1 chr21:18558461-18558532 (+)
>Danio_rerio_tRNA-Ala-TGC-28-2 (tRNAscan-SE ID: chr21.trna224) Ala (TGC) 72 bp Sc: 70.1 chr21:18560461-18560532 (+)
>Danio_rerio_tRNA-Ala-TGC-29-1 (tRNAscan-SE ID: chr21.trna66) Ala (TGC) 72 bp Sc: 67.7 chr21:18515534-18515605 (+)
>Danio_rerio_tRNA-Ala-TGC-3-1 (tRNAscan-SE ID: chr21.trna248) Ala (TGC) 72 bp Sc: 78.2 chr21:18567311-18567382 (+)
>Danio_rerio_tRNA-Ala-TGC-30-1 (tRNAscan-SE ID: chr21.trna56) Ala (TGC) 72 bp Sc: 71.3 chr21:18512669-18512740 (+)
>Danio_rerio_tRNA-Ala-TGC-31-1 (tRNAscan-SE ID: chr21.trna52) Ala (TGC) 72 bp Sc: 71.1 chr21:18511535-18511606 (+)
>Danio_rerio_tRNA-Ala-TGC-31-2 (tRNAscan-SE ID: chr21.trna99) Ala (TGC) 72 bp Sc: 71.1 chr21:18524908-18524979 (+)
>Danio_rerio_tRNA-Ala-TGC-32-1 (tRNAscan-SE ID: chr21.trna160) Ala (TGC) 72 bp Sc: 68.3 chr21:18542170-18542241 (+)
>Danio_rerio_tRNA-Ala-TGC-33-1 (tRNAscan-SE ID: chr21.trna144) Ala (TGC) 72 bp Sc: 70.2 chr21:18537722-18537793 (+)
>Danio_rerio_tRNA-Ala-TGC-33-2 (tRNAscan-SE ID: chr21.trna148) Ala (TGC) 72 bp Sc: 70.2 chr21:18538845-18538916 (+)
>Danio_rerio_tRNA-Ala-TGC-34-1 (tRNAscan-SE ID: chr21.trna152) Ala (TGC) 72 bp Sc: 68.3 chr21:18539965-18540036 (+)
>Danio_rerio_tRNA-Ala-TGC-35-1 (tRNAscan-SE ID: chr21.trna230) Ala (TGC) 72 bp Sc: 70.6 chr21:18562176-18562247 (+)
